v.elision,group,word,position
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,second,шефс,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,бесчин,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,злор,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,попеч,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,чувс,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шест,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,first,шефс,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,бесчин,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,злор,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,попеч,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,чувс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,third,шефс,strong
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,бесчин,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,злор,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,попеч,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,чувс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,second,шефс,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,бесчин,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,злор,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,попеч,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,чувс,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шест,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,first,шефс,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,бесчин,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,злор,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,попеч,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,чувс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
yes,third,шефс,weak
