Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1820s	1	4	NOUN	Наскучив мирной тишиною,	К. Ф. Рылеев
1820s	1	4	NOUN	Последний солнца луч погас за Апеннином;	П. А. Габбе
1820s	1	4	NOUN	Русский император	В. И. Соколовский
1820s	1	4	NOUN	Хвала вам, смелые певцы и стиходеи.	В. Л. Пушкин
1820s	1	4	VERB	Было время, процветала	А. С. Пушкин
1820s	1	4	VERB	Листья в поле пожелтели,	М. Ю. Лермонтов
1820s	1	4	VERB	Свеча, чуть теплясь, догорала,	Ф. Н. Глинка
1820s	1	5	NOUN	Быстро флот Агамемнона,	М. П. Загорский
1820s	1	5	NOUN	Забуду ли тебя, страна очарований!	Е. П. Зайцевский
1820s	1	5	NOUN	Пусть будет тот космополитом,	Д. Ю. Струйский (Трилунный)
1920s	1	1	ADJ	Моим дыханьем мир мой жив.	А. Скрябина
1920s	1	1	ADP	Раз шахтеры шахты близ	В. В. Маяковский
1920s	1	1	NOUN	Багровый мед гречух и ризы синих ржей, --	Е. И. Титов
1920s	1	1	NOUN	Была распутица и грязь,	Н. Н. Ушаков
1920s	1	1	NOUN	Вдыхая росторопь и гнев	М. И. Комиссарова
1920s	1	1	NOUN	Есть много дней, хороших дней,	Е. А. Панфилов
1920s	1	1	NOUN	Завыли пятнистые псы.	Дж. Алтаузен
1920s	1	1	NOUN	Заря струит по гребню гор	Л. А. Алексеева
1920s	1	1	NOUN	Как изразцов персидских -- синь	В. Ф. Наседкин
1920s	1	1	NOUN	Как ломкие пальцы невидимых рук,	Н. И. Дементьев
1920s	1	1	NOUN	Какая щемящая высь.	М. А. Зенкевич
1920s	1	1	NOUN	Какие праздничные дни --	Е. Ю. Кузьмина-Караваева
1920s	1	1	NOUN	Киркою рудокопный гном	Андрей Белый
1920s	1	1	NOUN	Лесная птица, влетевшая в сумрачный зал;	В. Я. Брюсов
1920s	1	1	NOUN	Ломают дом ... Повис отвеса груз,	Я. З. Шведов
1920s	1	1	NOUN	Молочной белизною стен	С. А. Швецов
1920s	1	1	NOUN	Нас заточили в каменный склеп.	А. К. Герцык
1920s	1	1	NOUN	Нет, не повторный лад и не заемный клад	И. Н. Голенищев-Кутузов
1920s	1	1	NOUN	Покуда комнатная слизь	Н. Г. Полетаев
1920s	1	1	NOUN	Раскину ласкину из амбара слов	В. В. Каменский
1920s	1	1	NOUN	Сердца каждый взмах	М. М. Мыслинская
1920s	1	1	NOUN	Там родина моя, где восходил мой дух,	С. Я. Парнок
1920s	1	1	NOUN	Тихо тянет сытый конь,	И. П. Уткин
1920s	1	1	NOUN	Ты -- юная, ты -- стройная, как ель,	Л. В. Гроссе
1920s	1	1	NOUN	Уже окончился день -- и ночь	Э. Г. Багрицкий
1920s	1	1	NOUN	Утро. Бегу сквозь мглу.	В. В. Морковин
1920s	1	1	NOUN	Что замедляет колесницы бег, --	А. Д. Скалдин
1920s	1	1	NOUN	Что родина? Воспоминаний дым.	А. Б. Мариенгоф
1920s	1	1	NOUN	Я люблю зеленый цвет,	Вс. А. Рождественский
1920s	1	1	NOUN	Я сплю, но в безмятежном сне	Д. Н. Семеновский
1920s	1	1	PART	С полудня парило. И вот	П. Г. Антокольский
1920s	1	1	PRON	-- О, светлый юноша, мой враг прекрасный, я,	А. А. Кондратьев
1920s	1	1	PRON	Я был в бреду, и ты сказала мне	Б. К. Ковынев
1920s	1	1	VERB	На землю смертный воду льет	Б. Б. Божнев
1920s	1	1	VERB	Скажите мне, что может быть	Н. Я. Агнивцев
1920s	1	1	X	Je donne, tu donne, elle donne, il donne, --	С. Е. Нельдихен
1920s	1	2	ADJ	-- Воронский, Воронский в подряснике старом,	С. А. Малахов
1920s	1	2	ADJ	«Живи как все» -- это мило,	В. А. Меркурьева
1920s	1	2	ADJ	Есть странные кафе, где лица слишком бледны,	К. К. Вагинов
1920s	1	2	ADJ	От красноватых зарослей рябой,	Д. Туманный
1920s	1	2	ADJ	Отыскивал вьюгой снежной	А. П. Крайский
1920s	1	2	ADJ	Пейзаж кудряв, глубок, волнист,	А. Е. Адалис
1920s	1	2	ADJ	Почему бывают дали ясны,	Л. И. Страховский
1920s	1	2	ADJ	Почила тень по улицам густым	Х. П. Кроткова
1920s	1	2	ADJ	Странны дни в долине ровной,	А. П. Платонов
1920s	1	2	ADJ	Тихим, темным, бесконечно-звездным,	Г. В. Адамович
1920s	1	2	ADJ	Тот Петербург чудной.	В. А. Кораблинов
1920s	1	2	ADJ	Хлябью хлипко день целый	Н. Лепок
1920s	1	2	ADJ	Шлагбаумам древним Дорога верна,	В. М. Саянов
1920s	1	2	ADJ	Я помню вечер тихий, красный ...	Г. А. Санников
1920s	1	2	ADV	Велик Хинган. Раскинулся кругом	Н. Д. Шилов
1920s	1	2	ADV	Все пусто и голо, все пусто и голо,	А. П. Паркау
1920s	1	2	ADV	Ну да! Еще не так давно	Б. Бета
1920s	1	2	ADV	Тихо на море. Тихо везде --	Е. Феррари
1920s	1	2	INTJ	Лишь возгласы татарина «хал-хал!».	В. Я. Парнах
1920s	1	2	NOUN	В далеком ущелье темных Карпат,	С. М. Соловьев
1920s	1	2	NOUN	В дремотной тьме стакана «Мокко»	В. И. Преловский
1920s	1	2	NOUN	В окно мое смотрятся горные вишни ...	В. Ю. Янковская
1920s	1	2	NOUN	В осаде Йорк ... И гром, и пламя ...	В. М. Лебедев
1920s	1	2	NOUN	Врывались в окно испаренья амшар	Е. С. Мозольков
1920s	1	2	NOUN	Всё ближе вы, изменчивые тени,	Н. Н. Белоцветов
1920s	1	2	NOUN	Всю ночь -- экспресса шум, как шум шагов,	С. А. Обрадович
1920s	1	2	NOUN	Вьет свою ниточку маленький, серый паук.	Е. В. Глушкова
1920s	1	2	NOUN	Город стынет в морозном флере,	И. Лесная
1920s	1	2	NOUN	Душа моя, как птица,	С. А. Клычков
1920s	1	2	NOUN	Еще над городом бродяжье утро,	Д. В. Петровский
1920s	1	2	NOUN	Жмутся к ограде опавшие листья,	А. А. Туринцев
1920s	1	2	NOUN	Загулялся ветер у ворот,	А. Ясный
1920s	1	2	NOUN	Здесь яблоком играют дети	И. В. Юрков
1920s	1	2	NOUN	Из желтой глины, из праха, из пыли	И. Г. Эренбург
1920s	1	2	NOUN	Испепелил, Святая Дева,	Д. С. Мережковский
1920s	1	2	NOUN	Камни планет подымали на камни,	Б. И. Арватов
1920s	1	2	NOUN	Канарейку из-за моря	И. А. Бунин
1920s	1	2	NOUN	Когда по Сухоне я плыл и по Двине,	С. В. Шервинский
1920s	1	2	NOUN	Когда, тоскуя, проводишь ночи	С. Я. Алымов
1920s	1	2	NOUN	Кусаются ружья.	С. М. Третьяков
1920s	1	2	NOUN	Кусочек дерева, графит и грани,	В. И. Еферов
1920s	1	2	NOUN	Люди и природа истомились зноем,	А. Пришелец
1920s	1	2	NOUN	Между глыбами снега -- насыпь,	М. А. Светлов
1920s	1	2	NOUN	Мясо наелось мяса, мясо наелось спаржи,	И. Северянин
1920s	1	2	NOUN	На дороге, в пересохшей луже,	В. П. Друзин
1920s	1	2	NOUN	На корцах краснолесий высоких роса	Г. Н. Петников
1920s	1	2	NOUN	На протяженье множества веков	С. Н. Марков
1920s	1	2	NOUN	На Родине я был ее природной частью,	Г. В. Голохвастов
1920s	1	2	NOUN	Над лесною тихой далью	А. Соколов
1920s	1	2	NOUN	Наклонились над картой плечо с плечом	С. А. Колбасьев
1920s	1	2	NOUN	Не заглушить, не вытоптать года, --	Н. С. Тихонов
1920s	1	2	NOUN	Неживое мое дитя,	М. М. Шкапская
1920s	1	2	NOUN	Ну как забыть твое лицо,	И. Н. Молчанов
1920s	1	2	NOUN	О, многоликий Владыка мира,	В. Т. Кириллов
1920s	1	2	NOUN	Она поет в печной трубе.	А. А. Блок
1920s	1	2	NOUN	Осколки радости и муки --	Г. А. Глинка
1920s	1	2	NOUN	Планетарный Гений,	Н. И. Колоколов
1920s	1	2	NOUN	По плитам каменным двора	А. И. Венедиктов
1920s	1	2	NOUN	Поет в лесу труба туманной влаги.	В. В. Державин
1920s	1	2	NOUN	Покой. Река. Лень. Церковь. Баня.	В. С. Логинов
1920s	1	2	NOUN	Птица, камень и стрела	Д. Д. Бурлюк
1920s	1	2	NOUN	Пусть и трамвай, и огни, и вечер --	Н. Я. Рославлева
1920s	1	2	NOUN	Пшеничным калачом заплетена коса	В. П. Катаев
1920s	1	2	NOUN	Разве раньше бывала весна	Д. Б. Кедрин
1920s	1	2	NOUN	Ранней весной цветет вишня,	К. В. Батурин
1920s	1	2	NOUN	Сад в цвете яблонь, в белой пене,	Е. Н. Рачинская
1920s	1	2	NOUN	Сел на рельсы, вытянувши ноги.	Т. А. Баженова
1920s	1	2	NOUN	Сильней в стременах стыли ноги,	Н. Н. Туроверов
1920s	1	2	NOUN	Скоро в снег побегут струйки,	С. И. Кирсанов
1920s	1	2	NOUN	Случалось ли тебе на светлый диск луны,	В. М. Василенко
1920s	1	2	NOUN	Солнце в лишаях и сыпи	М. П. Герасимов
1920s	1	2	NOUN	Стелет хвоя повсюду жало,	А. С. Головина
1920s	1	2	NOUN	Терпенья взорваны года	М. И. Серебрянский
1920s	1	2	NOUN	Тихо тянутся сонные дроги	А. Н. Вертинский
1920s	1	2	NOUN	Тихо-тихо на лугу,	П. Я. Зальцман
1920s	1	2	NOUN	То не ветреная Геба	С. В. Петров
1920s	1	2	NOUN	Торжественно, в сонета строгой раме	Р. П. Спинадель
1920s	1	2	NOUN	Тройкой, гей, безалаберных коней	И. Л. Сельвинский
1920s	1	2	NOUN	Ты тронешь холодно струну,	Л. А. Лавров
1920s	1	2	NOUN	Ты устал от любовных утех,	Н. М. Олейников
1920s	1	2	NOUN	У меня мансарда, не терем,	Э. Трахтенберг
1920s	1	2	NOUN	У нежности выросли крылья,	В. А. Силлов
1920s	1	2	NOUN	Ударится в колокол птица	С. П. Бобров
1920s	1	2	NOUN	Цветы сквозь сумрачную дрему	В. Март
1920s	1	2	NOUN	Черным голосом кричала земля,	А. Д. Радлова
1920s	1	2	NOUN	Чугунным шагом шел февраль.	Л. Е. Ещин
1920s	1	2	NOUN	Шли мы степью, в страшном мире.	Н. Н. Зарудин
1920s	1	2	NOUN	Шумом шумишь ты бездумным, ветер,	К. А. Липскеров
1920s	1	2	NOUN	Я -- делегат небесной рати	А. А. Жаров
1920s	1	2	NOUN	Я с неба яркую звезду	М. Визи
1920s	1	2	NOUN	Я, Довид-Ари бен Меир,	Д. Кнут
1920s	1	2	VERB	Ах, с судьбою мы вечно спорим,	Р. Ивнев
1920s	1	2	VERB	Боль матерей Нельзя ничем объять:	М. П. Юрин
1920s	1	2	VERB	Боюсь, обиды не снесу	И. М. Васильев
1920s	1	2	VERB	Веревкой крепкой к мачте повит,	В. Н. Иванов
1920s	1	2	VERB	Живи, кто умереть не может,	П. Я. Зальцман : Зальцман Я.Я.
1920s	1	2	VERB	Мне ль не знать, что слово бродит	Б. К. Лившиц
1920s	1	2	VERB	Мороз в окно скребется, лая,	В. Г. Шершеневич
1920s	1	2	VERB	Не птицей вольной я лечу,	А. Э. Беленсон
1920s	1	2	VERB	Ночь бесконечно длится ...	Максим Горький
1920s	1	2	VERB	Снова осень, и сердце щемит --	А. С. Штейгер
1920s	1	2	VERB	Тебя называть и молить мы не смеем,	Н. С. Позняков
1920s	1	2	VERB	Устало сердце жизни вторить	Е. Д. Волчанецкая
1920s	1	2	VERB	Я годами работать буду.	Е. Н. Рейтлингер
1920s	1	3	ADJ	Заткало пряжею туманной	Д. Бедный
1920s	1	3	ADJ	Красный отблеск слился с ночью голубой,	И. Т. Орлова
1920s	1	3	ADJ	Лишь заискрится бархат небесный	Б. А. Садовской
1920s	1	3	ADJ	Не окрылить крылом плеча мне правого,	Н. В. Крандиевская
1920s	1	3	ADJ	Нет, это совсем другое!.. --	Т. Д. Ратгауз
1920s	1	3	ADJ	О чем поешь, баян народный,	С. Д. Дрожжин
1920s	1	3	ADJ	О, эта даль! -- она обманна:	Ф. И. Чернов
1920s	1	3	ADJ	Он жив! у всех душа нетленна,	М. А. Кузмин
1920s	1	3	ADJ	По изгари в перстатицах собольих	А. В. Туфанов
1920s	1	3	ADJ	Пустая чаша высока.	С. Д. Спасский
1920s	1	3	ADJ	Пьян без вина, походкою неровной	М. А. Пожарова
1920s	1	3	ADJ	Сегодня -- не гиль позабытую разную	Н. Н. Асеев
1920s	1	3	ADJ	Синь туман в снегах упругих,	И. Е. Ерошин
1920s	1	3	ADJ	Та ночь началась нетерпеньем тягучим,	В. А. Луговской
1920s	1	3	ADJ	Холодный ключ осенний.	З. Н. Гиппиус
1920s	1	3	ADJ	Я далекий, я нездешний,	С. М. Городецкий
1920s	1	3	ADJ	Я ждала, ждала тебя, любимый,	В. В. Казин
1920s	1	3	ADV	В розовом кафе было так уютно:	Н. Болесцис
1920s	1	3	ADV	Вперед, заре навстречу,	А. И. Безыменский
1920s	1	3	ADV	Есть ли что чудесней	А. В. Ширяевец
1920s	1	3	ADV	Путник милый, ты далече,	А. А. Ахматова
1920s	1	3	ADV	Стоит моя луна высоко,	А. Н. Николев (Егунов)
1920s	1	3	ADV	Так умилительно по-детски	Б. Н. Несмелов
1920s	1	3	NOUN	-- Девушка Ин, с солнечными косами,	С. М. Рафальский
1920s	1	3	NOUN	...мне ж смерти нет и нет убоя!	А. Е. Крученых
1920s	1	3	NOUN	В цейхгауз сданный маузер	Н. Кармазинский
1920s	1	3	NOUN	Вне состраданья, вне страданья,	Л. И. Кельберин
1920s	1	3	NOUN	Вот она, суровая жестокость,	С. А. Есенин
1920s	1	3	NOUN	Всегда понятна жизнь поэта,	И. А. Аксенов
1920s	1	3	NOUN	Всхожу, бледнея, на ступени,	Т. П. Андреева
1920s	1	3	NOUN	Вся в цветах душистых ясная поляна.	Д. Земляк
1920s	1	3	NOUN	Вчера румяные зарницы	О. Ф. Берггольц
1920s	1	3	NOUN	Где ты, Селим, и где твоя Заира,	Г. В. Иванов
1920s	1	3	NOUN	Дивный цветок есть в роскошных долинах Китая,	Н. Светлов
1920s	1	3	NOUN	Елей серебрящихся намёты	В. Д. Гарднер
1920s	1	3	NOUN	Есть волшебные улыбки,	Ю. К. Балтрушайтис
1920s	1	3	NOUN	Еще сладостным плачем Адама	В. А. Ковалевский
1920s	1	3	NOUN	Жил на свете анархист.	Саша Черный
1920s	1	3	NOUN	Замутился белым облаком	А. Макаров
1920s	1	3	NOUN	Заревые облака.	Ю. Н. Верховский
1920s	1	3	NOUN	Зеленый двоpик. Куpицы в навозе	А. С. Присманова
1920s	1	3	NOUN	Кроме женщин есть еще на свете поезда,	А. А. Штейнберг
1920s	1	3	NOUN	Люблю под сводами седыя тишины	О. Э. Мандельштам
1920s	1	3	NOUN	На кургане, за глухим овином,	И. И. Доронин
1920s	1	3	NOUN	На смуглые ладони площадей	В. Д. Александровский
1920s	1	3	NOUN	Намеком знакомых страданий --	Н. Ильнек
1920s	1	3	NOUN	Наскучив праздным ремеслом,	М. А. Тарловский
1920s	1	3	NOUN	Наука не моя стихия,	Т. Л. Щепкина-Куперник
1920s	1	3	NOUN	Не сберешь мечты в вязанку,	М. В. Праскунин
1920s	1	3	NOUN	Нет, ничем, ничем не смыть позора,	Грааль-Арельский
1920s	1	3	NOUN	О грязца неземная трактира!	В. Л. Андреев
1920s	1	3	NOUN	Оглушенная ревом и топотом,	Н. С. Гумилев
1920s	1	3	NOUN	Он душу мне залил метелью	И. А. Савин
1920s	1	3	NOUN	Погаснет солнце в зримой вышине,	К. Д. Бальмонт
1920s	1	3	NOUN	Подай мне, Муза, новых слов богатство,	В. И. Шишов
1920s	1	3	NOUN	Полынь, полынь, Смиренная вдовица,	Е. Н. Забелин
1920s	1	3	NOUN	Пропал прелестный триолет,	И. С. Рукавишников
1920s	1	3	NOUN	Пропала во мраке тропинка,	Е. Е. Яшнов
1920s	1	3	NOUN	Протоптала в снегу дорожки	А. В. Фотинский
1920s	1	3	NOUN	Сегодня осень выглядит весною,	П. Н. Васильев
1920s	1	3	NOUN	Серые досчатые заборы ...	С. Я. Долныков
1920s	1	3	NOUN	Соло китайский домику	Н. П. Хабиас
1920s	1	3	NOUN	Спешим на Юг. За нами свист погони,	Г. Е. Коренев
1920s	1	3	NOUN	Среди ночных чуть слышных шорохов	М. Колосова
1920s	1	3	NOUN	Старики и мальчики застыли на кирпичных ступеньках.	Б. Н. Перелешин
1920s	1	3	NOUN	Странный город блеска, денег и наживы,	В. Н. Иевлева
1920s	1	3	NOUN	Ты в поля отошел без возврата --	Ф. Л. Камышнюк
1920s	1	3	NOUN	Улица лицами, коричневыми пятнами,	И. К. Славнин
1920s	1	3	NOUN	Упрямо винт сверлит пучины,	М. В. Щербаков
1920s	1	3	NOUN	Что, тепло ли на месяце	В. А. Монина
1920s	1	3	NOUN	Я выпил стакан эмигрантской отравы,	Н. Н. Алл
1920s	1	3	NOUN	Я не даю поэм породы,	Н. Л. Браун
1920s	1	3	NOUN	Я сегодня перелистываю страницы	А. Б. Кусиков
1920s	1	3	NUM	Выйди на кровлю ... Склонись на четыре	М. А. Волошин
1920s	1	3	NUM	К дому по Бассейной, шестьдесят,	И. В. Одоевцева
1920s	1	3	PRON	Любовь, ты лоцман корабля, который	Д. Г. Резников
1920s	1	3	VERB	Все разошлись. На прощанье осталась	А. А. Тарковский
1920s	1	3	VERB	Давайте пойдемте	И. В. Бахтерев
1920s	1	3	VERB	До заморозка в город не пробиться	А. Т. Твардовский
1920s	1	3	VERB	Заснуть сегодня не сумею,	Б. И. Соловьев
1920s	1	3	VERB	Здравствуй улица! Из Космоса приехал	К. К. Олимпов
1920s	1	3	VERB	иван иваныч расскажи	Д. Хармс
1920s	1	3	VERB	Кто выйдет поутру? Кто спелый плод подметит!	В. В. Набоков
1920s	1	3	VERB	Меж горьких трав в равнинах шелестел	Д. Л. Андреев
1920s	1	3	VERB	На пыльном тротуаре, где рикши зло гогочут	М. Ц. Спургот
1920s	1	3	VERB	Не говори: уж всё воспето.	Д. П. Шестаков
1920s	1	3	VERB	Ночь ли огни расплескать	В. В. Ильина
1920s	1	3	VERB	Под окошком собака лаяла,	Д. А. Ершов
1920s	1	3	VERB	Росами студеными обрызнут.	Б. К. Семенов
1920s	1	3	VERB	Синий день рассыпал	О. М. Криницкая
1920s	1	3	VERB	Ты не Синей Звездой родилась	В. К. Обухов
1920s	1	4	ADJ	В дни нашей скорби безнадежной,	С. С. Бехтеев
1920s	1	4	ADJ	Еще не дрогнул сумрак предрассветный,	П. С. Соловьева (Allegro)
1920s	1	4	ADJ	Зачертит насмешливый и оголтелый	Д. Ю. Кобяков
1920s	1	4	ADJ	Под сенью ночи серебристой	Я. И. Аракин
1920s	1	4	ADJ	Усталость тихая, вечерняя	Б. П. Корнилов
1920s	1	4	ADV	Закаты в августе! Плывут издалека	Г. А. Шенгели
1920s	1	4	NOUN	а вам вам ТАРАКАНАМ	А. И. Введенский
1920s	1	4	NOUN	Боюсь соблазнов сонных созерцанья.	Н. М. Минский
1920s	1	4	NOUN	Ведь это памятник отчаянья --	А. А. Баркова
1920s	1	4	NOUN	Водяное в барабане,	В. И. Нарбут
1920s	1	4	NOUN	Два суженных зрачка, -- два темных обелиска,	В. И. Иванов
1920s	1	4	NOUN	Детство. Рост под знаком Таракана;	Б. М. Лапин
1920s	1	4	NOUN	Духи дремлют в каждом электроне.	И. А. Оксенов
1920s	1	4	NOUN	Как в иступлении сумасшедший бежит в прямом коридоре,	И. В. Соколов
1920s	1	4	NOUN	Мы живали в суровой Неметчине,	А. А. Ачаир
1920s	1	4	NOUN	На поляны в полесовье	М. Д. Артамонов
1920s	1	4	NOUN	Нам скучно на земле, как в колыбели.	А. П. Ладинский
1920s	1	4	NOUN	По заборам бегут амбразуры,	Б. Л. Пастернак
1920s	1	4	NOUN	Похоронили с барабаном	Е. Л. Кропивницкий
1920s	1	4	NOUN	Равнина поет голосами	А. А. Кудрейко
1920s	1	4	NOUN	Суровое булыжное государство:	Н. А. Клюев
1920s	1	4	NOUN	Ты медленно подходишь к изголовью,	В. Ф. Мансветов
1920s	1	4	NOUN	Улиточка, улиточка,	М. Вега
1920s	1	4	NOUN	Я иду, иду тропинкою,	М. Голодный
1920s	1	4	NOUN	Я помню лаковые крылья экипажа,	Б. Ю. Поплавский
1920s	1	4	NUM	О, скушно как! О, ночь! В полутора	Г. Н. Оболдуев
1920s	1	4	VERB	Глядит, уныло увядая,	Н. А. Заболоцкий
1920s	1	4	VERB	Заболело -- не излечится --	В. И. Кривич
1920s	1	4	VERB	Как огонь полыхая,	С. А. Родов
1920s	1	4	VERB	Провинциальный бульвар. Извозчики балагурят.	Л. Н. Мартынов
1920s	1	4	VERB	Разве в книгах сердец не оттиснута	П. В. Незнамов
1920s	1	4	VERB	Стихает день, к закату уходящий.	А. В. Эйснер
1920s	1	4	VERB	Тучи солнышко завесили,	Н. А. Кузнецов
1920s	1	4	VERB	У душистых овинов затканная,	П. С. Сухотин
1920s	1	4	VERB	Шагаю ... Гудки прогудели ...	Я. П. Бердников
1920s	1	5	ADJ	И я пришла. Великопостный	Е. И. Дмитриева
1920s	1	5	ADJ	Совсем пустым, ненаполнимым	А. И. Тиняков
1920s	1	5	NOUN	Вечернее очарованье	Т. Вечорка
1920s	1	5	NOUN	Спрятанный в клобук Савонарола	Н. А. Щеголев
1920s	1	6	NOUN	Не испытали кораблекрушенья	Е. Г. Полонская
1920s	2	2	DET	Бессонница! Друг мой!	М. И. Цветаева
1920s	2	3	ADJ	У этой песни лад другой,	А. А. Прокофьев
