s.deletion,gramm.cat,phon.cont,social
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,separate morpheme,consonant,1
no,verb,consonant,1
no,verb,consonant,1
no,verb,consonant,1
no,verb,consonant,1
no,verb,consonant,1
no,verb,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
yes,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
no,determiner,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
yes,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
no,adjective,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
yes,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
no,noun,consonant,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
yes,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,separate morpheme,vowel,1
no,verb,vowel,1
no,verb,vowel,1
no,verb,vowel,1
no,verb,vowel,1
no,verb,vowel,1
yes,determiner,vowel,1
yes,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
no,determiner,vowel,1
yes,adjective,vowel,1
yes,adjective,vowel,1
yes,adjective,vowel,1
yes,adjective,vowel,1
yes,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
no,adjective,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
yes,noun,vowel,1
no,noun,vowel,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
yes,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,separate morpheme,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
no,adjective,pause,1
yes,noun,pause,1
yes,noun,pause,1
yes,noun,pause,1
yes,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
no,noun,pause,1
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
yes,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
no,separate morpheme,consonant,2
